Exchange Date,Close
10-Jul-2026,3.43
09-Jul-2026,3.57
08-Jul-2026,3.24
07-Jul-2026,3.32
06-Jul-2026,3.64
03-Jul-2026,
02-Jul-2026,3.16
01-Jul-2026,3.24
30-Jun-2026,3.11
29-Jun-2026,2.91
26-Jun-2026,2.87
25-Jun-2026,2.89
24-Jun-2026,2.92
23-Jun-2026,2.88
22-Jun-2026,2.77
19-Jun-2026,
18-Jun-2026,2.75
17-Jun-2026,2.78
16-Jun-2026,2.77
15-Jun-2026,2.63
12-Jun-2026,2.57
11-Jun-2026,2.54
10-Jun-2026,2.48
09-Jun-2026,2.44
08-Jun-2026,2.46
05-Jun-2026,2.47
04-Jun-2026,2.47
03-Jun-2026,2.53
02-Jun-2026,2.59
01-Jun-2026,2.61
29-May-2026,2.66
28-May-2026,2.74
27-May-2026,2.70
26-May-2026,2.74
22-May-2026,2.72
21-May-2026,2.73
20-May-2026,2.68
19-May-2026,2.70
18-May-2026,2.76
15-May-2026,2.85
14-May-2026,2.94
13-May-2026,2.96
12-May-2026,2.95
11-May-2026,2.99
08-May-2026,2.90
07-May-2026,2.91
06-May-2026,2.99
05-May-2026,3.06
04-May-2026,3.02
01-May-2026,3.02
30-Apr-2026,3.01
29-Apr-2026,3.05
28-Apr-2026,3.06
27-Apr-2026,3.04
24-Apr-2026,3.10
23-Apr-2026,3.16
22-Apr-2026,3.02
21-Apr-2026,2.89
20-Apr-2026,2.92
17-Apr-2026,2.89
16-Apr-2026,2.96
15-Apr-2026,3.04
14-Apr-2026,3.03
13-Apr-2026,3.01
10-Apr-2026,3.00
09-Apr-2026,2.94
08-Apr-2026,2.94
07-Apr-2026,2.86
06-Apr-2026,2.98
02-Apr-2026,2.95
01-Apr-2026,2.98
31-Mar-2026,2.98
30-Mar-2026,2.93
27-Mar-2026,3.02
26-Mar-2026,3.08
25-Mar-2026,3.16
24-Mar-2026,3.18
23-Mar-2026,3.07
20-Mar-2026,3.10
19-Mar-2026,3.06
18-Mar-2026,3.00
17-Mar-2026,3.02
16-Mar-2026,2.98
13-Mar-2026,2.90
12-Mar-2026,2.97
11-Mar-2026,2.92
10-Mar-2026,3.01
09-Mar-2026,3.02
06-Mar-2026,2.98
05-Mar-2026,2.93
04-Mar-2026,2.91
03-Mar-2026,2.87
02-Mar-2026,2.88
27-Feb-2026,2.85
26-Feb-2026,2.86
25-Feb-2026,2.88
24-Feb-2026,2.88
23-Feb-2026,2.81
20-Feb-2026,2.88
19-Feb-2026,2.87
18-Feb-2026,2.88
17-Feb-2026,2.85
13-Feb-2026,3.00
12-Feb-2026,3.00
11-Feb-2026,2.95
10-Feb-2026,2.94
09-Feb-2026,3.00
06-Feb-2026,2.97
05-Feb-2026,3.08
04-Feb-2026,3.09
03-Feb-2026,3.17
02-Feb-2026,3.33
30-Jan-2026,3.32
29-Jan-2026,3.46
28-Jan-2026,3.51
27-Jan-2026,3.67
26-Jan-2026,3.56
23-Jan-2026,3.51
22-Jan-2026,3.48
21-Jan-2026,3.48
20-Jan-2026,3.47
16-Jan-2026,3.55
15-Jan-2026,3.58
14-Jan-2026,3.56
13-Jan-2026,3.60
12-Jan-2026,3.56
09-Jan-2026,3.58
08-Jan-2026,3.72
07-Jan-2026,3.75
06-Jan-2026,3.74
05-Jan-2026,3.59
02-Jan-2026,3.57
31-Dec-2025,3.49
30-Dec-2025,3.50
29-Dec-2025,3.52
26-Dec-2025,3.50
24-Dec-2025,3.45
23-Dec-2025,3.47
22-Dec-2025,3.47
19-Dec-2025,3.41
18-Dec-2025,3.45
17-Dec-2025,3.52
16-Dec-2025,3.79
15-Dec-2025,3.88
12-Dec-2025,3.97
