Exchange Date,Trade Price
31-Dec-2025,98.322
30-Nov-2025,99.444
31-Oct-2025,99.804
30-Sep-2025,97.775
31-Aug-2025,97.771
31-Jul-2025,99.968
30-Jun-2025,96.875
31-May-2025,99.329
30-Apr-2025,99.468
31-Mar-2025,104.210
28-Feb-2025,107.614
31-Jan-2025,108.370
31-Dec-2024,108.487
30-Nov-2024,105.737
31-Oct-2024,103.976
30-Sep-2024,100.779
31-Aug-2024,101.698
31-Jul-2024,104.096
30-Jun-2024,105.866
31-May-2024,104.671
30-Apr-2024,106.221
31-Mar-2024,104.546
29-Feb-2024,104.156
31-Jan-2024,103.274
31-Dec-2023,101.333
30-Nov-2023,103.497
31-Oct-2023,106.663
30-Sep-2023,106.224
31-Aug-2023,103.619
31-Jul-2023,101.855
30-Jun-2023,102.912
31-May-2023,104.326
30-Apr-2023,101.659
31-Mar-2023,102.506
28-Feb-2023,104.869
31-Jan-2023,102.097
31-Dec-2022,103.522
30-Nov-2022,105.950
31-Oct-2022,111.527
30-Sep-2022,112.117
31-Aug-2022,108.700
31-Jul-2022,105.903
30-Jun-2022,104.685
31-May-2022,101.752
30-Apr-2022,102.959
31-Mar-2022,98.312
28-Feb-2022,96.707
31-Jan-2022,96.540
31-Dec-2021,95.968
30-Nov-2021,95.994
31-Oct-2021,94.123
30-Sep-2021,94.230
31-Aug-2021,92.626
31-Jul-2021,92.174
30-Jun-2021,92.436
31-May-2021,90.031
30-Apr-2021,91.280
31-Mar-2021,93.232
28-Feb-2021,90.879
31-Jan-2021,90.584
31-Dec-2020,89.937
30-Nov-2020,91.869
31-Oct-2020,94.038
30-Sep-2020,93.886
31-Aug-2020,92.144
31-Jul-2020,93.349
30-Jun-2020,97.391
31-May-2020,98.344
30-Apr-2020,99.016
31-Mar-2020,99.048
29-Feb-2020,98.132
31-Jan-2020,97.390
31-Dec-2019,96.389
30-Nov-2019,98.273
31-Oct-2019,97.352
30-Sep-2019,99.377
31-Aug-2019,98.916
31-Jul-2019,98.516
30-Jun-2019,96.130
31-May-2019,97.750
30-Apr-2019,97.479
31-Mar-2019,97.284
28-Feb-2019,96.157
31-Jan-2019,95.578
31-Dec-2018,96.173
30-Nov-2018,97.272
31-Oct-2018,97.127
30-Sep-2018,95.132
31-Aug-2018,95.140
31-Jul-2018,94.493
30-Jun-2018,94.636
31-May-2018,93.985
30-Apr-2018,91.841
31-Mar-2018,89.974
28-Feb-2018,90.613
31-Jan-2018,89.133
31-Dec-2017,92.124
30-Nov-2017,93.047
31-Oct-2017,94.552
30-Sep-2017,93.076
31-Aug-2017,92.668
31-Jul-2017,92.863
30-Jun-2017,95.628
31-May-2017,96.922
30-Apr-2017,99.050
31-Mar-2017,100.350
28-Feb-2017,101.120
31-Jan-2017,99.512
31-Dec-2016,102.210
30-Nov-2016,101.500
31-Oct-2016,98.445
30-Sep-2016,95.463
31-Aug-2016,96.022
31-Jul-2016,95.531
