date,US climate policy,International summits,Global warming,Natural disasters
2000-01-03,0.000842541,0.00042127,0.00042127,0.285263211
2000-01-05,0.000611,0.0003055,0.028858203,0.0003055
2000-01-07,0.020722844,0.000123606,0.000123606,0.000123606
2000-01-08,0.11989896,0.00055584,0.327528268,0.00055584
2000-01-09,0.000212492,0.000106246,0.132018924,0.024470793
2000-01-10,0.317073226,0.031488054,0.240515023,0.083919629
2000-01-11,0.000607203,0.000303602,0.000303602,0.281525761
2000-01-12,0.115170293,0.13041684,0.086450122,0.000279965
2000-01-13,0.053490791,0.072477922,0.084376507,0.000151062
2000-01-14,0.000388695,0.000194348,0.042861111,0.171707943
2000-01-16,0.275950193,9.91346E-05,9.91346E-05,9.91346E-05
2000-01-18,0.000432916,0.062484663,0.189714879,0.000216458
2000-01-19,0.16585508,0.063249983,0.805175722,0.000709991
2000-01-21,0.125480965,0.000161442,0.000161442,0.000161442
2000-01-23,0.000406437,0.213131458,0.000203218,0.000203218
2000-01-24,0.475494474,0.037171215,0.260999739,0.089439601
2000-01-25,0.317795634,9.40146E-05,9.40146E-05,0.009050825
2000-01-26,0.000503534,0.000251767,0.000251767,0.000251767
2000-01-28,1.024964571,0.185366094,0.271041036,0.076813206
2000-02-01,0.056932978,0.000268881,0.114054106,0.000268881
2000-02-02,0.358458936,9.72409E-05,9.72409E-05,9.72409E-05
2000-02-03,0.152652085,0.045948546,0.072642379,0.000452321
2000-02-07,0.246825397,0.000102175,0.000102175,0.025524728
2000-02-11,0.048085473,0.000261647,0.166667014,0.000261647
2000-02-14,0.184412822,0.000204224,0.000204224,0.000204224
2000-02-15,0.001209656,0.000604828,0.303398103,0.000604828
2000-02-16,0.000656497,0.000328249,0.000328249,0.000328249
2000-02-17,0.035878435,0.000168246,0.022212561,0.000168246
2000-02-18,0.119185686,0.020144954,0.309984475,0.00078499
2000-02-23,0.000843318,0.04024649,0.000421659,0.030436467
2000-02-25,0.457483053,0.056195945,0.129107058,0.000451453
2000-02-28,0.474533647,0.000441935,0.378040731,0.000441935
2000-02-29,0.264862567,0.275693595,0.319070399,0.000779914
2000-03-01,0.000589023,0.000294512,0.000294512,0.000294512
2000-03-03,0.369707614,0.000123584,0.087934278,0.000123584
2000-03-06,0.000753315,0.000376657,0.018847249,0.534574091
2000-03-07,0.000373997,0.000186999,0.250423759,0.000186999
2000-03-08,0.000988199,0.035432532,0.441520303,0.528499067
2000-03-09,0.110215187,0.362115204,1.796864986,0.001226217
2000-03-10,0.000695777,0.000347889,0.000347889,0.000347889
2000-03-14,0.004170685,0.024530042,0.756060004,0.67425406
2000-03-20,0.253249794,0.00033077,0.19099389,0.00033077
2000-03-21,0.001495262,0.13818787,0.162830815,0.000747631
2000-03-22,0.06982448,0.000296582,0.043220028,0.185995519
2000-03-23,0.054711457,0.000429059,0.186927795,0.023526601
2000-03-24,0.000432592,0.054870199,0.380274564,0.000216296
2000-03-28,0.001080624,0.000540312,0.120696627,0.457942307
2000-03-30,0.136940613,0.000152865,0.000152865,0.01449932
2000-03-31,0.273756951,0.001254319,0.357677609,0.001254319
